"","","今回のお支払日","2026/10/10"
"","","今回のお支払金額合計(￥)","57797"
"",""," うち国内ご利用金額合計(￥)","57797"
"",""," うち海外ご利用金額合計(￥)","0"
"【ご利用明細】"
"ご利用者","カテゴリ","ご利用日","ご利用先など","ご利用金額(￥)","支払区分","今回回数","訂正サイン","お支払い金額(￥)","国内／海外","摘要","備考"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/01","サンプルサービスE","350","1回","","","350","国内","","DUMMY-2026-0245"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/01","Amazon サンプル購入","1274","1回","","","1274","国内","","DUMMY-2026-0253"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/01","ニトリ サンプル店","756","1回","","","756","国内","","DUMMY-2026-0256"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/01","ユニクロ サンプル店","455","1回","","","455","国内","","DUMMY-2026-0257"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/01","東京電力 サンプル","126","1回","","","126","国内","","DUMMY-2026-0265"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/01","サンプル家賃","77","1回","","","77","国内","","DUMMY-2026-0269"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/02","サンプルサービスB","350","1回","","","350","国内","","DUMMY-2026-0242"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/02","サンプルサービスH","350","1回","","","350","国内","","DUMMY-2026-0248"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/02","スターバックス サンプル店","1228","1回","","","1228","国内","","DUMMY-2026-0251"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/02","TOHOシネマズ サンプル","140","1回","","","140","国内","","DUMMY-2026-0259"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/02","みどりクリニック サンプル","140","1回","","","140","国内","","DUMMY-2026-0262"
"発表用ダミー","≪ショッピング取組（国内）≫","2026/09/02","docomo サンプル","112","1回","","","112","国内","","DUMMY-2026-0267"
