"取引日","出金金額（円）","入金金額（円）","海外出金金額","通貨","変換レート（円）","利用国","取引内容","取引先","取引方法","支払い区分","利用者","取引番号"
"2026/03/10","1404","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0070"
"2026/03/11","864","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0075"
"2026/03/17","400","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0064"
"2026/03/20","160","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0081"
"2026/03/23","72","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0083"
"2026/04/02","425","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0091"
"2026/04/05","1492","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0099"
"2026/04/06","425","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0097"
"2026/04/10","1492","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0100"
"2026/04/11","918","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0105"
"2026/04/17","425","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0094"
"2026/04/20","170","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0111"
"2026/04/23","77","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0113"
"2026/05/02","425","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0121"
"2026/05/05","1492","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0129"
"2026/05/06","425","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0127"
"2026/05/10","1492","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0130"
"2026/05/11","918","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0135"
"2026/05/17","425","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0124"
"2026/05/20","170","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0141"
"2026/05/23","77","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0143"
"2026/06/02","450","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0151"
"2026/06/05","1580","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0159"
"2026/06/06","450","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0157"
"2026/06/10","1580","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0160"
"2026/06/11","972","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0165"
"2026/06/17","450","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0154"
"2026/06/20","180","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0171"
"2026/06/23","81","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0173"
"2026/07/02","450","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0181"
"2026/07/05","1580","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0189"
"2026/07/06","450","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0187"
"2026/07/10","1580","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0190"
"2026/07/11","972","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0195"
"2026/07/17","450","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0184"
"2026/07/20","180","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0201"
"2026/07/23","81","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0203"
"2026/08/02","475","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0211"
"2026/08/05","1668","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0219"
"2026/08/06","475","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0217"
"2026/08/10","1667","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0220"
"2026/08/11","1026","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0225"
"2026/08/17","475","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0214"
"2026/08/20","190","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0231"
"2026/08/23","86","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0233"
"2026/09/01","350","","","","","日本","支払い","サンプルサービスA","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0241"
"2026/09/01","350","","","","","日本","支払い","サンプルサービスG","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0247"
"2026/09/01","1229","","","","","日本","支払い","セブンイレブン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0250"
"2026/09/01","140","","","","","日本","支払い","さくら歯科 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0261"
"2026/09/02","350","","","","","日本","支払い","サンプルサービスD","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0244"
"2026/09/02","1229","","","","","日本","支払い","イオン サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0249"
"2026/09/02","756","","","","","日本","支払い","マツモトキヨシ サンプル店","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0255"
"2026/09/02","63","","","","","日本","支払い","JR東日本 サンプル","PayPay残高","通常","発表用ダミー","PP-DUMMY-2026-0263"
