"transactionId","userId","ageGroup","gender","date","amount","merchant","source","paymentMethod","category","type","importBatchId","createdAt"
"DUMMY2-2026-0012","presentation_demo_user_02","40s","unspecified","2026-02-04","745","テスト食品マーケット","VISA","VISA","食費","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0013","presentation_demo_user_02","40s","unspecified","2026-02-06","596","サンプル通販 Lumen","VISA","VISA","ネットでの購入","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0014","presentation_demo_user_02","40s","unspecified","2026-02-08","1341","架空生活雑貨 Mori","PayPay","PayPay","日用品","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0015","presentation_demo_user_02","40s","unspecified","2026-02-10","1490","架空ファッション Sora","VISA","VISA","衣服費","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0016","presentation_demo_user_02","40s","unspecified","2026-02-12","1639","架空ボードゲーム工房","PayPay","PayPay","娯楽","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0017","presentation_demo_user_02","40s","unspecified","2026-02-14","2086","サンプル眼科","JCB","JCB","医療費","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0018","presentation_demo_user_02","40s","unspecified","2026-02-16","1937","テスト駐車場","VISA","VISA","交通費","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0019","presentation_demo_user_02","40s","unspecified","2026-02-18","1788","サンプル水道","VISA","VISA","光熱費","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0020","presentation_demo_user_02","40s","unspecified","2026-02-20","1043","架空モバイル回線","PayPay","PayPay","通信費","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0021","presentation_demo_user_02","40s","unspecified","2026-02-22","1937","サンプル家賃 Residence","VISA","VISA","住居費","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0022","presentation_demo_user_02","40s","unspecified","2026-02-24","298","架空ワークショップ Aster","PayPay","PayPay","その他","expense","DUMMY2-BATCH-202602","2026-09-07T00:00:00Z"
"DUMMY2-2026-0023","presentation_demo_user_02","40s","unspecified","2026-03-05","728","架空ベーカリー青空店","PayPay","PayPay","食費","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0024","presentation_demo_user_02","40s","unspecified","2026-03-07","546","架空ECモール Kite","JCB","JCB","ネットでの購入","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0025","presentation_demo_user_02","40s","unspecified","2026-03-09","1092","テストホームストア","JCB","JCB","日用品","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0026","presentation_demo_user_02","40s","unspecified","2026-03-11","2184","サンプル衣料 Nagi","JCB","JCB","衣服費","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0027","presentation_demo_user_02","40s","unspecified","2026-03-13","3276","サンプル配信サービス Orbit","JCB","JCB","娯楽","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0028","presentation_demo_user_02","40s","unspecified","2026-03-15","1638","架空メディカルセンター","PayPay","PayPay","医療費","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0029","presentation_demo_user_02","40s","unspecified","2026-03-17","2730","架空交通バス","PayPay","PayPay","交通費","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0030","presentation_demo_user_02","40s","unspecified","2026-03-19","1456","架空電気サービス","JCB","JCB","光熱費","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0031","presentation_demo_user_02","40s","unspecified","2026-03-21","910","サンプルインターネット","VISA","VISA","通信費","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0032","presentation_demo_user_02","40s","unspecified","2026-03-23","3276","架空アパート管理費","JCB","JCB","住居費","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0033","presentation_demo_user_02","40s","unspecified","2026-03-25","364","サンプルサービス Quartz","JCB","JCB","その他","expense","DUMMY2-BATCH-202603","2026-09-07T00:00:00Z"
"DUMMY2-2026-0034","presentation_demo_user_02","40s","unspecified","2026-04-06","1092","サンプル食堂ひだまり","JCB","JCB","食費","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0035","presentation_demo_user_02","40s","unspecified","2026-04-08","312","サンプル通販 Lumen","VISA","VISA","ネットでの購入","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0036","presentation_demo_user_02","40s","unspecified","2026-04-10","1560","架空生活雑貨 Mori","PayPay","PayPay","日用品","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0037","presentation_demo_user_02","40s","unspecified","2026-04-12","1092","架空ファッション Sora","VISA","VISA","衣服費","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0038","presentation_demo_user_02","40s","unspecified","2026-04-14","1872","テスト水族館","VISA","VISA","娯楽","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0039","presentation_demo_user_02","40s","unspecified","2026-04-16","2340","サンプル眼科","JCB","JCB","医療費","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0040","presentation_demo_user_02","40s","unspecified","2026-04-18","2184","サンプルタクシー","JCB","JCB","交通費","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0041","presentation_demo_user_02","40s","unspecified","2026-04-20","1716","サンプル水道","VISA","VISA","光熱費","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0042","presentation_demo_user_02","40s","unspecified","2026-04-22","936","架空モバイル回線","PayPay","PayPay","通信費","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0043","presentation_demo_user_02","40s","unspecified","2026-04-24","2184","サンプル家賃 Residence","VISA","VISA","住居費","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0044","presentation_demo_user_02","40s","unspecified","2026-04-26","312","架空ワークショップ Aster","PayPay","PayPay","その他","expense","DUMMY2-BATCH-202604","2026-09-07T00:00:00Z"
"DUMMY2-2026-0045","presentation_demo_user_02","40s","unspecified","2026-05-07","895","テスト食品マーケット","VISA","VISA","食費","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0046","presentation_demo_user_02","40s","unspecified","2026-05-09","895","架空ECモール Kite","JCB","JCB","ネットでの購入","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0047","presentation_demo_user_02","40s","unspecified","2026-05-11","1432","テストホームストア","JCB","JCB","日用品","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0048","presentation_demo_user_02","40s","unspecified","2026-05-13","1611","サンプル衣料 Nagi","JCB","JCB","衣服費","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0049","presentation_demo_user_02","40s","unspecified","2026-05-15","2864","架空ボードゲーム工房","PayPay","PayPay","娯楽","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0050","presentation_demo_user_02","40s","unspecified","2026-05-17","1432","架空メディカルセンター","PayPay","PayPay","医療費","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0051","presentation_demo_user_02","40s","unspecified","2026-05-19","2148","テスト駐車場","VISA","VISA","交通費","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0052","presentation_demo_user_02","40s","unspecified","2026-05-21","1790","架空電気サービス","JCB","JCB","光熱費","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0053","presentation_demo_user_02","40s","unspecified","2026-05-23","1253","サンプルインターネット","VISA","VISA","通信費","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0054","presentation_demo_user_02","40s","unspecified","2026-05-25","3222","架空アパート管理費","JCB","JCB","住居費","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0055","presentation_demo_user_02","40s","unspecified","2026-05-27","358","サンプルサービス Quartz","JCB","JCB","その他","expense","DUMMY2-BATCH-202605","2026-09-07T00:00:00Z"
"DUMMY2-2026-0066","presentation_demo_user_02","40s","unspecified","2026-06-02","326","架空ワークショップ Aster","PayPay","PayPay","その他","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0056","presentation_demo_user_02","40s","unspecified","2026-06-08","978","架空ベーカリー青空店","PayPay","PayPay","食費","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0057","presentation_demo_user_02","40s","unspecified","2026-06-10","489","サンプル通販 Lumen","VISA","VISA","ネットでの購入","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0058","presentation_demo_user_02","40s","unspecified","2026-06-12","1141","架空生活雑貨 Mori","PayPay","PayPay","日用品","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0059","presentation_demo_user_02","40s","unspecified","2026-06-14","1793","架空ファッション Sora","VISA","VISA","衣服費","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0060","presentation_demo_user_02","40s","unspecified","2026-06-16","1630","サンプル配信サービス Orbit","JCB","JCB","娯楽","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0061","presentation_demo_user_02","40s","unspecified","2026-06-18","2119","サンプル眼科","JCB","JCB","医療費","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0062","presentation_demo_user_02","40s","unspecified","2026-06-20","2608","架空交通バス","PayPay","PayPay","交通費","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0063","presentation_demo_user_02","40s","unspecified","2026-06-22","1467","サンプル水道","VISA","VISA","光熱費","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0064","presentation_demo_user_02","40s","unspecified","2026-06-24","815","架空モバイル回線","PayPay","PayPay","通信費","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0065","presentation_demo_user_02","40s","unspecified","2026-06-26","2934","サンプル家賃 Residence","VISA","VISA","住居費","expense","DUMMY2-BATCH-202606","2026-09-07T00:00:00Z"
"DUMMY2-2026-0077","presentation_demo_user_02","40s","unspecified","2026-07-03","382","サンプルサービス Quartz","JCB","JCB","その他","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0067","presentation_demo_user_02","40s","unspecified","2026-07-09","764","サンプル食堂ひだまり","JCB","JCB","食費","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0068","presentation_demo_user_02","40s","unspecified","2026-07-11","382","架空ECモール Kite","JCB","JCB","ネットでの購入","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0069","presentation_demo_user_02","40s","unspecified","2026-07-13","1719","テストホームストア","JCB","JCB","日用品","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0070","presentation_demo_user_02","40s","unspecified","2026-07-15","1528","サンプル衣料 Nagi","JCB","JCB","衣服費","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0071","presentation_demo_user_02","40s","unspecified","2026-07-17","2674","テスト水族館","VISA","VISA","娯楽","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0072","presentation_demo_user_02","40s","unspecified","2026-07-19","2292","架空メディカルセンター","PayPay","PayPay","医療費","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0073","presentation_demo_user_02","40s","unspecified","2026-07-21","3438","サンプルタクシー","JCB","JCB","交通費","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0074","presentation_demo_user_02","40s","unspecified","2026-07-23","1528","架空電気サービス","JCB","JCB","光熱費","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0075","presentation_demo_user_02","40s","unspecified","2026-07-25","1146","サンプルインターネット","VISA","VISA","通信費","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0076","presentation_demo_user_02","40s","unspecified","2026-07-27","3247","架空アパート管理費","JCB","JCB","住居費","expense","DUMMY2-BATCH-202607","2026-09-07T00:00:00Z"
"DUMMY2-2026-0087","presentation_demo_user_02","40s","unspecified","2026-08-02","2784","サンプル家賃 Residence","VISA","VISA","住居費","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0088","presentation_demo_user_02","40s","unspecified","2026-08-04","348","架空ワークショップ Aster","PayPay","PayPay","その他","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0078","presentation_demo_user_02","40s","unspecified","2026-08-10","870","テスト食品マーケット","VISA","VISA","食費","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0079","presentation_demo_user_02","40s","unspecified","2026-08-12","696","サンプル通販 Lumen","VISA","VISA","ネットでの購入","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0080","presentation_demo_user_02","40s","unspecified","2026-08-14","1392","架空生活雑貨 Mori","PayPay","PayPay","日用品","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0081","presentation_demo_user_02","40s","unspecified","2026-08-16","1740","架空ファッション Sora","VISA","VISA","衣服費","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0082","presentation_demo_user_02","40s","unspecified","2026-08-18","2262","架空ボードゲーム工房","PayPay","PayPay","娯楽","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0083","presentation_demo_user_02","40s","unspecified","2026-08-20","1740","サンプル眼科","JCB","JCB","医療費","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0084","presentation_demo_user_02","40s","unspecified","2026-08-22","2436","テスト駐車場","VISA","VISA","交通費","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0085","presentation_demo_user_02","40s","unspecified","2026-08-24","2088","サンプル水道","VISA","VISA","光熱費","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0086","presentation_demo_user_02","40s","unspecified","2026-08-26","1044","架空モバイル回線","PayPay","PayPay","通信費","expense","DUMMY2-BATCH-202608","2026-09-07T00:00:00Z"
"DUMMY2-2026-0089","presentation_demo_user_02","40s","unspecified","2026-09-01","1176","架空ベーカリー青空店","PayPay","PayPay","食費","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0091","presentation_demo_user_02","40s","unspecified","2026-09-01","1323","テストホームストア","JCB","JCB","日用品","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0093","presentation_demo_user_02","40s","unspecified","2026-09-01","1617","サンプル配信サービス Orbit","JCB","JCB","娯楽","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0095","presentation_demo_user_02","40s","unspecified","2026-09-01","2205","架空交通バス","PayPay","PayPay","交通費","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0097","presentation_demo_user_02","40s","unspecified","2026-09-01","735","サンプルインターネット","VISA","VISA","通信費","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0099","presentation_demo_user_02","40s","unspecified","2026-09-01","294","サンプルサービス Quartz","JCB","JCB","その他","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0090","presentation_demo_user_02","40s","unspecified","2026-09-02","441","架空ECモール Kite","JCB","JCB","ネットでの購入","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0092","presentation_demo_user_02","40s","unspecified","2026-09-02","1029","サンプル衣料 Nagi","JCB","JCB","衣服費","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0094","presentation_demo_user_02","40s","unspecified","2026-09-02","2058","架空メディカルセンター","PayPay","PayPay","医療費","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0096","presentation_demo_user_02","40s","unspecified","2026-09-02","1323","架空電気サービス","JCB","JCB","光熱費","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
"DUMMY2-2026-0098","presentation_demo_user_02","40s","unspecified","2026-09-02","2499","架空アパート管理費","JCB","JCB","住居費","expense","DUMMY2-BATCH-202609","2026-09-07T00:00:00Z"
